Tile,Animal,Genotype,Layer,Stub,Section ID,Area_um_sq,Major Length um,Minor Length um,Feret diam um,Aspect Ratio,Perimeter um,Count,Total_mito_Area_um_sq
Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.54,0.37,0.55,1.44,1.7,8,1.46
Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.26,0.76,0.45,0.77,1.71,2.34,8,2.09
Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.9,0.42,0.91,2.54,2.59,10,3.11
Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.72,0.41,0.71,1.9,2.19,14,3.24
Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.25,0.82,0.36,0.82,2.34,2.32,6,1.48
Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.13,0.44,0.36,0.46,1.22,1.52,8,1.02
Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.51,0.38,0.53,1.35,1.76,10,1.84
Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.62,0.37,0.63,1.75,1.94,5,0.91
Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.73,0.34,0.74,2.24,2.14,15,3.23
Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.26,0.72,0.43,0.74,1.69,2.25,6,1.58
Farris 270-B Stub 1 dot Basal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.79,0.46,0.81,1.8,2.43,6,1.86
Farris 270-B Stub 1 dot Basal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.67,0.31,0.66,2.4,1.95,8,1.32
Farris 270-B Stub 1 dot Basal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.56,0.31,0.56,1.91,1.7,13,1.91
Farris 270-B Stub 1 dot Basal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.2,0.66,0.34,0.67,2.01,1.95,10,1.98
Farris 270-B Stub 1 dot Basal_Q3_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.71,0.39,0.72,1.87,2.15,9,2.14
Farris 270-B Stub 1 dot Basal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.79,0.35,0.79,2.27,2.25,13,3.16
Farris 270-B Stub 1 dot Basal_Q3_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.53,0.31,0.54,1.85,1.62,15,2.2
Farris 270-B Stub 1 dot Basal_Q3_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.65,0.33,0.65,2.04,1.92,22,3.93
Farris 270-B Stub 1 dot Basal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.91,0.39,0.92,2.24,2.56,13,4.04
Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.73,0.32,0.73,2.32,2.07,14,2.55
Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.14,0.59,0.29,0.6,2.18,1.7,6,0.85
Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.64,0.32,0.64,2.04,1.89,17,2.64
Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.57,0.32,0.58,1.86,1.72,15,2.22
Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.97,0.28,0.93,3.28,2.44,15,3.32
Farris 270-B Stub 1 dot Distal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.9,0.35,0.89,2.61,2.53,12,2.89
Farris 270-B Stub 1 dot Distal_Q1_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.77,0.34,0.78,2.29,2.19,14,3.01
Farris 270-B Stub 1 dot Distal_Q1_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.29,0.93,0.39,0.92,2.41,2.62,11,3.17
Farris 270-B Stub 1 dot Distal_Q1_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.85,0.31,0.84,2.77,2.38,20,4.22
Farris 270-B Stub 1 dot Distal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.8,0.33,0.81,2.51,2.22,16,3.5
Farris 270-B Stub 1 dot Distal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.72,0.29,0.71,2.43,1.96,18,3.21
Farris 270-B Stub 1 dot Distal_Q1_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.17,0.71,0.29,0.71,2.52,1.97,17,2.9
Farris 270-B Stub 1 dot Distal_Q2_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.8,0.34,0.8,2.28,2.28,13,2.99
Farris 270-B Stub 1 dot Distal_Q2_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.59,0.3,0.6,2.1,1.77,15,2.2
Farris 270-B Stub 1 dot Distal_Q2_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.83,0.31,0.84,2.71,2.33,17,3.65
Farris 270-B Stub 1 dot Distal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.65,0.28,0.65,2.4,1.84,18,2.94
Farris 270-B Stub 1 dot Distal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.17,0.76,0.29,0.75,3.02,2.1,8,1.36
Farris 270-B Stub 1 dot Distal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.72,0.36,0.73,2.02,2.12,13,2.76
Farris 270-B Stub 1 dot Distal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.12,0.55,0.25,0.56,2.21,1.57,13,1.52
Farris 270-B Stub 1 dot Distal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.26,0.97,0.35,0.98,2.76,2.64,9,2.38
Farris 270-B Stub 1 dot Distal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.34,1.1,0.37,1.08,2.78,3.0,13,4.41
Farris 270-B Stub 1 dot Distal_Q3_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.93,0.33,0.91,3.0,2.53,14,3.34
Farris 270-B Stub 1 dot Distal_Q3_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.3,1.2,0.34,1.16,3.68,3.06,19,5.74
Farris 270-B Stub 1 dot Distal_Q3_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.8,0.32,0.8,2.48,2.28,14,3.01
Farris 270-B Stub 1 dot Distal_Q3_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.2,0.84,0.29,0.83,2.99,2.24,18,3.6
Farris 270-B Stub 1 dot Distal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.78,0.35,0.79,2.38,2.23,16,3.54
Farris 270-B Stub 1 dot Distal_Q4_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.66,0.32,0.67,2.05,1.92,18,3.3
Farris 270-B Stub 1 dot Distal_Q4_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.86,0.28,0.86,2.89,2.29,14,2.88
Farris 270-B Stub 1 dot Distal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.39,1.53,0.34,1.42,3.95,3.69,9,3.49
Farris 270-B Stub 1 dot Distal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.28,0.97,0.36,0.95,2.73,2.71,16,4.45
Farris 270-B Stub 1 dot Distal_Q4_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.36,1.05,0.44,1.06,2.57,2.95,10,3.63
Farris 270-B Stub 1 dot Distal_Q4_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.83,0.34,0.85,3.03,2.32,13,2.99
Farris 270-B Stub 1 dot Distal_Q4_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 1 dot,MCC270_Stub 1 dot,0.28,1.01,0.35,0.99,3.46,2.64,13,3.67
Farris 270-B Stub 1 dot Proximal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.19,0.7,0.32,0.71,2.49,1.98,10,1.91
Farris 270-B Stub 1 dot Proximal_Q1_Tile_001-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.22,1.0,0.3,0.98,4.06,2.6,5,1.11
Farris 270-B Stub 1 dot Proximal_Q1_Tile_002-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.32,0.89,0.43,0.93,2.01,2.63,5,1.58
Farris 270-B Stub 1 dot Proximal_Q1_Tile_004-002.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.2,1.02,0.26,1.0,4.04,2.48,4,0.8
Farris 270-B Stub 1 dot Proximal_Q1_Tile_004-004.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.61,0.3,0.6,2.04,1.73,5,0.75
Farris 270-B Stub 1 dot Proximal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.17,0.55,0.36,0.57,1.52,1.76,8,1.33
Farris 270-B Stub 1 dot Proximal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.9,0.31,0.9,3.25,2.37,13,2.94
Farris 270-B Stub 1 dot Proximal_Q1_Tile_007-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.7,0.37,0.72,2.02,2.05,7,1.48
Farris 270-B Stub 1 dot Proximal_Q2_Tile_001-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.57,0.33,0.58,1.72,1.74,10,1.65
Farris 270-B Stub 1 dot Proximal_Q2_Tile_001-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.69,0.3,0.68,2.49,1.95,8,1.31
Farris 270-B Stub 1 dot Proximal_Q2_Tile_002-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.84,0.32,0.84,2.89,2.36,11,2.28
Farris 270-B Stub 1 dot Proximal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.82,0.31,0.82,2.79,2.22,8,1.65
Farris 270-B Stub 1 dot Proximal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.77,0.28,0.78,2.75,2.11,7,1.26
Farris 270-B Stub 1 dot Proximal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.25,1.22,0.31,1.14,4.4,3.01,5,1.27
Farris 270-B Stub 1 dot Proximal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.88,0.33,0.86,2.84,2.38,11,2.58
Farris 270-B Stub 1 dot Proximal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.13,0.55,0.31,0.55,1.91,1.67,4,0.53
Farris 270-B Stub 1 dot Proximal_Q3_Tile_001-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.94,0.29,0.98,3.12,2.53,9,2.02
Farris 270-B Stub 1 dot Proximal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.19,0.86,0.29,0.83,3.0,2.36,10,1.93
Farris 270-B Stub 1 dot Proximal_Q3_Tile_002-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.19,0.65,0.36,0.65,2.2,1.96,3,0.58
Farris 270-B Stub 1 dot Proximal_Q3_Tile_004-002.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.89,0.27,0.88,3.2,2.35,4,0.72
Farris 270-B Stub 1 dot Proximal_Q3_Tile_004-004.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.64,0.29,0.65,2.22,1.78,6,0.87
Farris 270-B Stub 1 dot Proximal_Q3_Tile_006-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.95,0.31,0.92,2.98,2.5,12,2.93
Farris 270-B Stub 1 dot Proximal_Q3_Tile_006-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.72,0.36,0.71,2.2,2.13,5,1.05
Farris 270-B Stub 1 dot Proximal_Q3_Tile_007-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.12,0.55,0.28,0.55,1.91,1.62,8,1.0
Farris 270-B Stub 1 dot Proximal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.17,0.73,0.3,0.72,2.53,2.07,6,1.02
Farris 270-B Stub 1 dot Proximal_Q4_Tile_001-005.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.19,0.92,0.29,0.91,3.23,2.78,9,1.72
Farris 270-B Stub 1 dot Proximal_Q4_Tile_002-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.14,0.67,0.26,0.64,2.71,1.79,10,1.38
Farris 270-B Stub 1 dot Proximal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.39,1.69,0.34,1.62,4.85,4.27,5,1.97
Farris 270-B Stub 1 dot Proximal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.26,1.12,0.29,1.1,3.76,2.9,9,2.37
Farris 270-B Stub 1 dot Proximal_Q4_Tile_006-001.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.21,0.63,0.36,0.65,1.74,1.92,9,1.91
Farris 270-B Stub 1 dot Proximal_Q4_Tile_007-003.tif,MCC270,MCC Cre -,Proximal,Stub 1 dot,MCC270_Stub 1 dot,0.17,0.66,0.31,0.68,2.28,1.92,16,2.71
Farris 270-B Stub 4 dot Basal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.22,0.58,0.42,0.59,1.45,1.89,7,1.52
Farris 270-B Stub 4 dot Basal_Q1_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.18,0.7,0.3,0.7,2.39,1.95,11,1.97
Farris 270-B Stub 4 dot Basal_Q1_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.31,1.09,0.37,1.02,2.86,2.95,8,2.45
Farris 270-B Stub 4 dot Basal_Q1_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.2,0.59,0.39,0.62,1.5,1.92,10,2.03
Farris 270-B Stub 4 dot Basal_Q1_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.2,0.71,0.37,0.72,1.97,2.11,10,2.05
Farris 270-B Stub 4 dot Basal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.26,0.62,0.47,0.64,1.3,2.08,10,2.61
Farris 270-B Stub 4 dot Basal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.33,0.87,0.47,0.89,2.0,2.62,13,4.3
Farris 270-B Stub 4 dot Basal_Q2_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.12,0.57,0.26,0.56,2.29,1.58,5,0.58
Farris 270-B Stub 4 dot Basal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.34,1.42,0.35,1.36,4.1,3.64,3,1.01
Farris 270-B Stub 4 dot Basal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.3,0.96,0.43,0.93,2.26,2.72,11,3.31
Farris 270-B Stub 4 dot Basal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.16,0.59,0.33,0.6,1.89,1.78,9,1.47
Farris 270-B Stub 4 dot Basal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.17,0.56,0.36,0.57,1.7,1.77,16,2.79
Farris 270-B Stub 4 dot Basal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.17,0.68,0.32,0.68,2.39,1.96,15,2.58
Farris 270-B Stub 4 dot Basal_Q3_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.2,0.68,0.36,0.69,1.96,2.05,15,3.0
Farris 270-B Stub 4 dot Basal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.07,0.38,0.24,0.39,1.6,1.18,8,0.58
Farris 270-B Stub 4 dot Basal_Q3_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.16,0.58,0.34,0.59,1.86,1.79,16,2.56
Farris 270-B Stub 4 dot Basal_Q3_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.2,0.75,0.33,0.76,2.3,2.13,14,2.82
Farris 270-B Stub 4 dot Basal_Q3_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.21,0.67,0.35,0.68,1.86,2.02,8,1.67
Farris 270-B Stub 4 dot Basal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.19,0.71,0.34,0.73,2.23,2.11,12,2.34
Farris 270-B Stub 4 dot Basal_Q4_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.2,0.65,0.39,0.66,1.78,2.0,12,2.44
Farris 270-B Stub 4 dot Basal_Q4_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.14,0.55,0.32,0.55,1.78,1.67,9,1.23
Farris 270-B Stub 4 dot Basal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.21,0.79,0.36,0.78,2.45,2.22,14,2.98
Farris 270-B Stub 4 dot Basal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.23,0.83,0.37,0.81,2.29,2.33,9,2.06
Farris 270-B Stub 4 dot Basal_Q4_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 4 dot,MCC270_Stub 4 dot,0.15,0.53,0.34,0.54,1.57,1.67,14,2.05
Farris 270-B Stub 4 dot Distal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.17,0.69,0.3,0.69,2.38,1.98,16,2.68
Farris 270-B Stub 4 dot Distal_Q1_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.18,0.73,0.31,0.72,2.43,2.03,15,2.63
Farris 270-B Stub 4 dot Distal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.17,0.63,0.33,0.62,1.85,1.86,26,4.4
Farris 270-B Stub 4 dot Distal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.25,0.81,0.37,0.82,2.25,2.34,19,4.67
Farris 270-B Stub 4 dot Distal_Q2_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.29,0.97,0.37,1.0,2.6,2.69,19,5.49
Farris 270-B Stub 4 dot Distal_Q2_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.17,0.66,0.3,0.66,2.19,1.9,17,2.94
Farris 270-B Stub 4 dot Distal_Q2_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.24,0.93,0.35,0.92,2.8,2.62,25,6.02
Farris 270-B Stub 4 dot Distal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.31,1.11,0.33,1.09,3.32,2.93,18,5.57
Farris 270-B Stub 4 dot Distal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.21,0.99,0.28,0.97,3.75,2.5,19,3.96
Farris 270-B Stub 4 dot Distal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.24,0.88,0.32,0.87,2.68,2.35,15,3.64
Farris 270-B Stub 4 dot Distal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.23,0.89,0.33,0.88,3.12,2.42,14,3.26
Farris 270-B Stub 4 dot Distal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.3,0.96,0.42,0.97,2.46,2.72,12,3.59
Farris 270-B Stub 4 dot Distal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.25,0.94,0.34,0.94,2.77,2.67,19,4.79
Farris 270-B Stub 4 dot Distal_Q3_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.28,0.88,0.39,0.88,2.29,2.59,16,4.43
Farris 270-B Stub 4 dot Distal_Q3_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.24,0.87,0.37,0.87,2.47,2.48,20,4.85
Farris 270-B Stub 4 dot Distal_Q3_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.36,1.15,0.39,1.14,3.03,3.05,18,6.52
Farris 270-B Stub 4 dot Distal_Q3_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.24,0.81,0.33,0.83,2.68,2.29,16,3.85
Farris 270-B Stub 4 dot Distal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.26,0.91,0.36,0.92,2.73,2.56,13,3.35
Farris 270-B Stub 4 dot Distal_Q4_Tile_001-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.21,0.69,0.37,0.71,1.98,2.1,13,2.77
Farris 270-B Stub 4 dot Distal_Q4_Tile_002-003.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.22,0.8,0.32,0.81,2.55,2.23,24,5.22
Farris 270-B Stub 4 dot Distal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.23,0.76,0.34,0.77,2.32,2.2,14,3.15
Farris 270-B Stub 4 dot Distal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.28,0.93,0.34,0.91,2.59,2.52,19,5.41
Farris 270-B Stub 4 dot Distal_Q4_Tile_006-001.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.32,1.14,0.38,1.08,3.18,3.09,15,4.73
Farris 270-B Stub 4 dot Distal_Q4_Tile_006-005.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.18,0.71,0.31,0.71,2.27,2.28,21,3.73
Farris 270-B Stub 4 dot Distal_Q4_Tile_007-003.tif,MCC270,MCC Cre -,Distal,Stub 4 dot,MCC270_Stub 4 dot,0.32,1.1,0.36,1.07,3.01,2.96,15,4.75
Farris 270-B Stub 4 dot Proximal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Proximal,Stub 4 dot,MCC270_Stub 4 dot,0.19,0.75,0.32,0.76,2.46,2.12,11,2.11
