index,Basal,Proximal,Distal
count,2860.0,4007.0,6299.0
mean,0.178,0.157,0.206
std,0.145,0.14,0.191
min,0.012,0.012,0.01
25%,0.08,0.073,0.088
50%,0.131,0.112,0.145
75%,0.233,0.189,0.254
max,1.359,1.513,1.969
