,Basal,Proximal,Distal
count,10000.0,10000.0,10000.0
mean,0.16251003839999997,0.13709798399999998,0.16137495359999995
std,0.024554345934163148,0.018597049864161507,0.02007032136990928
min,0.091392,0.0881919999999999,0.102528
25%,0.14496,0.12463199999999999,0.147648
50%,0.160832,0.133824,0.160512
75%,0.176896,0.1489919999999999,0.1732479999999999
max,0.259392,0.275968,0.272256
