,Basal,Proximal,Distal
count,10000.0,10000.0,10000.0
mean,0.14236485759999995,0.11755766399999998,0.14947888959999997
std,0.028079942707497908,0.020827502031688535,0.01935032475647441
min,0.0816,0.073984,0.09952
25%,0.121792,0.10332,0.135744
50%,0.137344,0.114048,0.146816
75%,0.157376,0.12928,0.162432
max,0.3113599999999999,0.2945919999999999,0.2455679999999999
