,Basal,Proximal,Distal
count,10000.0,10000.0,10000.0
mean,12.7595,12.95985,22.3756
std,1.8769821672582525,1.4587925778116952,1.9625900784376367
min,8.0,9.0,17.0
25%,11.0,12.0,21.0
50%,13.0,13.0,22.5
75%,14.0,14.0,24.0
max,17.0,17.0,27.0
