Animal,,MCC270,MCC270,MCC270,MCC270,MCC270,MCC270,MCC273,MCC273,MCC273,MCC273,MCC273,MCC273,MCC276,MCC276,MCC276,MCC276,MCC276,MCC276
Subregion,,CA1,CA1,CA1,CA2,CA2,CA2,CA1,CA1,CA1,CA2,CA2,CA2,CA1,CA1,CA1,CA2,CA2,CA2
Layer,,Basal,Proximal,Distal,Basal,Proximal,Distal,Basal,Proximal,Distal,Basal,Proximal,Distal,Basal,Proximal,Distal,Basal,Proximal,Distal
Mito_total_area,median,0.176448,0.14751999999999998,0.161472,0.19904,0.193856,0.20790399999999998,0.143584,0.130112,0.15222399999999997,0.17859199999999997,0.141376,0.169152,0.149504,0.130688,0.15212799999999999,0.21728,0.165376,0.18387199999999998
Mito_total_area,std,0.130515992906822,0.2124719143225949,0.15149478440722788,0.18960189688605336,0.23959022652346418,0.25529250189688124,0.14727871909324752,0.13635257224472033,0.2216104169738951,0.1778256136221284,0.20265370616979306,0.23690237298412767,0.14901126070611492,0.12203728834725801,0.17428513702745205,0.23433590950375205,0.1778149780075857,0.23724339910425482
Mito_total_area,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Den_Width_um,median,0.7497720000000001,0.86279,0.7978959999999999,0.8699880000000001,0.990398,0.7867040000000001,0.7938810000000001,0.7805700000000001,0.76302,0.986947,0.931786,0.8499500000000001,0.753208,0.75685,0.7487509999999999,0.960874,0.903084,0.810466
Den_Width_um,std,0.21124979031428623,0.3797288047336577,0.2653831031453728,0.27975445717767405,0.34830839918613865,0.2431345323476933,0.26056008040400974,0.3286135938648194,0.2448824948897466,0.31145372875207117,0.3754945033888221,0.267229081601182,0.24880040393833325,0.37625667678114477,0.23674436444487829,0.31383639469609587,0.35431429171587003,0.263122250011875
Den_Width_um,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Den_Length_um,median,1.618682,2.1064740000000004,1.729422,1.778162,2.38,1.904927,1.6488610000000001,1.71879,1.6463700000000001,1.917262,2.00227,1.8400699999999999,1.4741579999999999,1.71327,1.621267,1.9816520000000002,1.95018,1.8331279999999999
Den_Length_um,std,0.8168294397957203,0.9207929070521419,0.8961621588203762,1.2608567257273253,1.8964554433491956,1.4116431839279853,0.9457453110005438,1.0450768027917434,0.9175469422966811,1.2970171757695486,1.5932359177366824,1.5187781804798088,0.9010187671390061,0.9252516167173456,0.9608930386951609,1.3634816707587327,1.4715525529352962,1.2928361103386117
Den_Length_um,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Den_Area_um_sq,median,0.79392,1.131008,0.9632639999999999,1.04992,1.670464,1.055072,0.915488,0.876736,0.865344,1.3040319999999999,1.263552,1.085056,0.7688959999999999,0.91648,0.819456,1.298432,1.227712,1.0183039999999999
Den_Area_um_sq,std,0.6430488800797975,1.4839418901652086,1.3230418230083711,1.0913727284971488,2.115530259685056,1.0877360744455595,1.660615588236205,2.0033002972640706,1.0821462097907741,1.325956520130733,1.97923331057746,1.3641920832753145,0.8476701287246996,1.3749622143497382,0.8072841357919948,1.4168116902691634,1.6578114598499432,1.0702430561889205
Den_Area_um_sq,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Mito_total_area,median,0.176448,0.14751999999999998,0.161472,0.19904,0.193856,0.20790399999999998,0.143584,0.130112,0.15222399999999997,0.17859199999999997,0.141376,0.169152,0.149504,0.130688,0.15212799999999999,0.21728,0.165376,0.18387199999999998
Mito_total_area,std,0.130515992906822,0.2124719143225949,0.15149478440722788,0.18960189688605336,0.23959022652346418,0.25529250189688124,0.14727871909324752,0.13635257224472033,0.2216104169738951,0.1778256136221284,0.20265370616979306,0.23690237298412767,0.14901126070611492,0.12203728834725801,0.17428513702745205,0.23433590950375205,0.1778149780075857,0.23724339910425482
Mito_total_area,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Total_mito_area_per_den_area,median,0.19609179731879117,0.15038629693956998,0.16373509018564958,0.18275671357463283,0.12269764805894019,0.19864356899486676,0.14640538179103152,0.143583945732052,0.17825232746996497,0.13701186727024303,0.11823062558356677,0.16025641025641027,0.1952366950896795,0.14035320674545215,0.18231902070770117,0.1534811436138418,0.13707542513572937,0.18573832562053008
Total_mito_area_per_den_area,std,0.11007085405643352,0.1277985094369336,0.10351395305506533,0.12648647097640786,0.1017137460521088,0.12035323139740944,0.0979436525849954,0.10332186391450379,0.10686046585970056,0.1066891406812748,0.0986533629798927,0.09335995391660395,0.1408013156632597,0.10675884573402249,0.1085141342795275,0.11705803561763034,0.10925446194890448,0.10754094336275564
Total_mito_area_per_den_area,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Mito_total_len,median,0.6287,0.619936,0.620931,0.7184020000000001,0.7480979999999999,0.7692620000000001,0.5718570000000001,0.579092,0.65223,0.646771,0.627838,0.696944,0.575212,0.520634,0.6631330000000001,0.704298,0.6586559999999999,0.715766
Mito_total_len,std,0.39755256957148016,0.7487567454377869,0.596309877977421,0.5154206810055911,0.8393629066968659,0.7576668342988644,0.508138627619999,0.5196138029567585,0.835982372474598,0.4785757279816915,0.7672248986150666,0.8197805694947091,0.4497757421592164,0.4570240552600789,0.6622148776661183,0.5693872872137918,0.5868698801607292,0.7160383771889589
Mito_total_len,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
Total_mito_len_per_den_len,median,0.3987589878253466,0.3503503342491137,0.3699290397671051,0.3978061256124945,0.3280682904967127,0.41301922277759934,0.34905020430435785,0.34444757035729184,0.40659837703243307,0.3352595667149798,0.3367936847103514,0.3880229248277633,0.3774861797932228,0.34414853910611587,0.41411438659016864,0.3546248589990112,0.3485612634919109,0.3988018796685089
Total_mito_len_per_den_len,std,0.14799301813689958,0.20487637280388027,0.1757646457119437,0.1804848676736296,0.16938224093161827,0.17503187500381867,0.14501387248277445,0.16100521550623953,0.23086134634435296,0.16240552956456666,0.1900321370343124,0.17452140035031619,0.17628831801877554,0.15836391549039255,0.20786821443405445,0.17615507256987736,0.17068523592900178,0.17082903777492056
Total_mito_len_per_den_len,count,97.0,101.0,264.0,459.0,415.0,878.0,668.0,817.0,1356.0,660.0,655.0,1443.0,263.0,315.0,704.0,385.0,573.0,1261.0
