Animal,Subregion,Layer,Den_Width_um,Den_Length_um,Den_Area_um_sq,Mito_total_area,Total_mito_area_per_den_area,Mito_total_len,Total_mito_len_per_den_len
MCC270,CA1,Basal,0.7497720000000001,1.618682,0.79392,0.176448,0.19609179731879117,0.6287,0.3987589878253466
MCC270,CA1,Proximal,0.86279,2.1064740000000004,1.131008,0.14751999999999998,0.15038629693956998,0.619936,0.3503503342491137
MCC270,CA1,Distal,0.7978959999999999,1.729422,0.9632639999999999,0.161472,0.16373509018564958,0.620931,0.3699290397671051
MCC270,CA2,Basal,0.8699880000000001,1.778162,1.04992,0.19904,0.18275671357463283,0.7184020000000001,0.3978061256124945
MCC270,CA2,Proximal,0.990398,2.38,1.670464,0.193856,0.12269764805894019,0.7480979999999999,0.3280682904967127
MCC270,CA2,Distal,0.7867040000000001,1.904927,1.055072,0.20790399999999998,0.19864356899486676,0.7692620000000001,0.41301922277759934
MCC273,CA1,Basal,0.7938810000000001,1.6488610000000001,0.915488,0.143584,0.14640538179103152,0.5718570000000001,0.34905020430435785
MCC273,CA1,Proximal,0.7805700000000001,1.71879,0.876736,0.130112,0.143583945732052,0.579092,0.34444757035729184
MCC273,CA1,Distal,0.76302,1.6463700000000001,0.865344,0.15222399999999997,0.17825232746996497,0.65223,0.40659837703243307
MCC273,CA2,Basal,0.986947,1.917262,1.3040319999999999,0.17859199999999997,0.13701186727024303,0.646771,0.3352595667149798
MCC273,CA2,Proximal,0.931786,2.00227,1.263552,0.141376,0.11823062558356677,0.627838,0.3367936847103514
MCC273,CA2,Distal,0.8499500000000001,1.8400699999999999,1.085056,0.169152,0.16025641025641027,0.696944,0.3880229248277633
MCC276,CA1,Basal,0.753208,1.4741579999999999,0.7688959999999999,0.149504,0.1952366950896795,0.575212,0.3774861797932228
MCC276,CA1,Proximal,0.75685,1.71327,0.91648,0.130688,0.14035320674545215,0.520634,0.34414853910611587
MCC276,CA1,Distal,0.7487509999999999,1.621267,0.819456,0.15212799999999999,0.18231902070770117,0.6631330000000001,0.41411438659016864
MCC276,CA2,Basal,0.960874,1.9816520000000002,1.298432,0.21728,0.1534811436138418,0.704298,0.3546248589990112
MCC276,CA2,Proximal,0.903084,1.95018,1.227712,0.165376,0.13707542513572937,0.6586559999999999,0.3485612634919109
MCC276,CA2,Distal,0.810466,1.8331279999999999,1.0183039999999999,0.18387199999999998,0.18573832562053008,0.715766,0.3988018796685089
