Mito_ID,Image origin,Subregion,Class,Area,Eccentricity,Length of Major Axis,Length of Minor Axis,Perimeter,Feret Diameter Maximum,Orientation,Solidity,X Position,Y Position,Average Intensity (channel 1),Model Score,Dendritic mitochondria overlap with Dendrite Object,Dendrite Object parent ID,Number of Dendritic mitochondria within Dendrite Object,Genotype,Layer,Animal,Stub,Tile,Area_um_sq,Major_Length_um,Minor_Length_um,Perimeter_um,Feret_diam_um,Aspect_Ratio,Section_ID,Location,NN_Dist,NN_ID,NN_Dist_um,Tile_ID,Den_Area_um_sq,Den_Length_um,Den_Width_um,Dendrite_ID,Mito_len_per_den_len,Mito_area_per_den_area
8,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,43552.0,0.717,282.471,197.02,910.51,287.446,-0.088,0.979,3903.895,2861.086,90.528,1.0,,13.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.174208,0.564942,0.39404,1.82102,0.5748920000000001,1.43,MCC270_Stub 1 dot,"[3903.895, 2861.086]",782.2712365062388,33,1.5645424730124775,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.356352,1.8505960000000001,1.027952,13,0.3106523519990317,0.12843863539848063
32,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,35920.0,0.825,285.732,161.295,833.054,280.316,1.556,0.978,4329.965,697.778,78.89,1.0,,18.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.14368,0.5714640000000001,0.32259,1.666108,0.5606319999999999,1.77,MCC270_Stub 1 dot,"[4329.965, 697.778]",1554.949621728627,37,3.1098992434572543,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.974784,1.9320060000000001,0.6625080000000001,18,0.29018129343283605,0.14739675661479876
6,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,53344.0,0.845,358.309,191.549,1048.853,364.0,-1.327,0.975,283.43,2655.775,86.864,1.0,,22.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.21337599999999998,0.7166180000000001,0.383098,2.097706,0.728,1.87,MCC270_Stub 1 dot,"[283.43, 2655.775]",1373.0953412389104,7,2.746190682477821,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.585792,1.093262,0.7082200000000001,22,0.6658971042622903,0.3642521577624822
14,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,24800.0,0.846,244.272,130.316,688.669,239.169,-0.08,0.976,1959.193,1237.03,90.939,0.995,,23.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.0992,0.488544,0.26063200000000003,1.377338,0.47833800000000004,1.87,MCC270_Stub 1 dot,"[1959.193, 1237.03]",242.52115819037311,21,0.48504231638074624,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.3013759999999999,2.450586,0.8131900000000001,23,0.19519331294637285,0.07622700895052621
21,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,28240.0,0.845,260.051,139.252,749.154,257.154,-1.462,0.972,1899.764,1001.903,61.972,0.968,,29.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.11295999999999999,0.520102,0.27850400000000003,1.498308,0.514308,1.87,MCC270_Stub 1 dot,"[1899.764, 1001.903]",242.52115819037311,14,0.48504231638074624,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.5552,1.933222,0.424888,29,0.26603669935475593,0.2034582132564841
33,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,23392.0,0.507,186.391,160.645,650.225,193.127,0.836,0.975,4474.447,2325.905,92.27,1.0,,34.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.093568,0.372782,0.32129,1.30045,0.38625400000000004,1.16,MCC270_Stub 1 dot,"[4474.447, 2325.905]",180.4038305164275,37,0.360807661032855,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.68512,1.152112,0.8464360000000001,34,0.3352573360923244,0.13657169546940684
37,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,37152.0,0.913,341.433,139.584,930.61,334.09,0.243,0.962,4623.798,2224.713,93.805,0.999,,34.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.148608,0.682866,0.279168,1.86122,0.66818,2.45,MCC270_Stub 1 dot,"[4623.798, 2224.713]",180.4038305164275,33,0.360807661032855,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.68512,1.152112,0.8464360000000001,34,0.5799609760162207,0.21690798692199906
35,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,44336.0,0.892,357.084,161.084,1038.894,364.852,1.046,0.958,4876.334,3663.966,89.582,1.0,,36.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.177344,0.714168,0.322168,2.077788,0.729704,2.22,MCC270_Stub 1 dot,"[4876.334, 3663.966]",1261.052696409234,8,2.522105392818468,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.2007679999999998,1.58035,1.26548,36,0.4617356914607524,0.14769214369470207
4,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,34544.0,0.458,222.619,197.938,794.61,225.568,-1.094,0.978,3390.83,2735.607,96.837,1.0,,6.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.138176,0.445238,0.395876,1.58922,0.45113600000000004,1.12,MCC270_Stub 1 dot,"[3390.83, 2735.607]",762.8984886346282,1,1.5257969772692563,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.829696,1.372362,0.8611280000000001,6,0.32872959175494515,0.16653810552298673
1,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,16304.0,0.466,153.432,135.751,542.912,159.013,-0.926,0.97,2704.299,3068.307,70.977,1.0,,8.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.065216,0.30686399999999997,0.271502,1.0858240000000001,0.31802600000000003,1.13,MCC270_Stub 1 dot,"[2704.299, 3068.307]",762.8984886346282,4,1.5257969772692563,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.8673919999999999,1.621712,0.825682,8,0.19610510374221812,0.075186305614993
2,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,32368.0,0.931,338.451,123.33,957.522,330.438,-0.77,0.961,1725.516,2407.887,92.835,1.0,,12.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.129472,0.676902,0.24666,1.9150440000000002,0.660876,2.74,MCC270_Stub 1 dot,"[1725.516, 2407.887]",1180.7500741007807,1,2.3615001482015616,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,4.195968,4.204056,1.404344,12,0.1571996186539856,0.03085628870382234
22,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,45248.0,0.709,288.737,203.524,888.669,302.597,1.317,0.982,124.131,811.219,50.549,0.992,,21.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.180992,0.577474,0.407048,1.777338,0.605194,1.42,MCC270_Stub 1 dot,"[124.131, 811.219]",1434.757163822854,19,2.869514327645708,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,2.1533439999999997,3.071564,0.91323,21,0.1970312192746106,0.08405159602924568
9,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,30304.0,0.952,358.199,109.912,974.309,356.204,0.554,0.956,1562.013,135.059,93.945,1.0,,23.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.12121599999999999,0.7163980000000001,0.21982400000000002,1.948618,0.712408,3.26,MCC270_Stub 1 dot,"[1562.013, 135.059]",157.56536004147605,19,0.3151307200829521,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.407552,2.355766,0.945652,23,0.30241034126479455,0.08611831037148183
19,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,55136.0,0.917,515.94,206.386,1717.99,495.347,0.481,0.647,1435.346,228.773,93.018,0.995,,23.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.220544,1.0318800000000001,0.412772,3.4359800000000003,0.990694,2.5,MCC270_Stub 1 dot,"[1435.346, 228.773]",157.56536004147605,9,0.3151307200829521,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.407552,2.355766,0.945652,23,0.4205400706182193,0.15668621834219978
11,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,38896.0,0.633,253.136,195.992,861.924,258.265,-1.008,0.977,3690.022,1204.2,84.677,0.999,,26.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.155584,0.506272,0.391984,1.723848,0.5165299999999999,1.29,MCC270_Stub 1 dot,"[3690.022, 1204.2]",337.1738179930344,30,0.6743476359860688,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.443072,2.7548939999999997,0.9486180000000001,26,0.18749541724654378,0.10781444030512685
28,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,37216.0,0.775,274.015,173.221,863.681,274.235,0.542,0.975,4867.294,2889.772,86.949,1.0,,29.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.148864,0.54803,0.346442,1.727362,0.54847,1.58,MCC270_Stub 1 dot,"[4867.294, 2889.772]",1315.3793748740322,34,2.6307587497480647,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.155008,2.1367040000000004,0.74282,29,0.25668974270652367,0.12888568737186235
30,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,CA2,Dendritic mitochondria,52240.0,0.934,432.72,154.059,1136.267,433.526,0.13,0.974,4012.97,1301.106,90.04,1.0,,43.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,0.20895999999999998,0.8654400000000001,0.308118,2.2725340000000003,0.867052,2.81,MCC270_Stub 1 dot,"[4012.97, 1301.106]",337.1738179930344,11,0.6743476359860688,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.8288639999999998,3.133152,0.773614,43,0.2767347386912605,0.11425671892497201
9,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,CA2,Dendritic mitochondria,10416.0,0.811,151.704,88.7,466.426,161.447,-0.495,0.953,1197.303,1835.22,72.857,0.997,,4.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,0.041664,0.303408,0.1774,0.932852,0.322894,1.71,MCC270_Stub 1 dot,"[1197.303, 1835.22]",1143.1424417210658,16,2.2862848834421317,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,0.9710719999999999,1.6189200000000001,1.160462,4,0.1994502507844736,0.04290516048243591
