Object ID,Animal,Subregion,Layer,Stub,Tile,Den_Length_um,Den_Width_um,Den_Area_um_sq,Dendrite_ID,Mito_IDs,Mean_mito_area,Mito_total_area,Mito_total_len,N_mitos,Total_mito_area_per_den_area,Total_mito_len_per_den_len
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-004.tif,2.857354,0.960812,1.865856,7,['1'],0.453248,0.453248,0.93962,1,0.2429169239212458,0.32884269852457904
11,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-004.tif,1.09176,0.9064059999999999,0.695936,11,['5'],0.383552,0.383552,0.805354,1,0.5511311384954939,0.7376657873525316
14,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-004.tif,2.575266,0.60273,1.1124479999999999,14,['10'],0.195264,0.195264,0.85673,1,0.17552640662754576,0.3326763138254456
2,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,4.34519,1.050342,3.28064,2,['1'],0.43219199999999997,0.43219199999999997,0.94813,1,0.1317401482637534,0.21820219599142962
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,2.5481860000000003,0.786664,1.397376,7,['4'],0.32255999999999996,0.32255999999999996,1.013684,1,0.2308326463314097,0.3978061256124945
10,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,1.04302,0.802516,0.5938559999999999,10,['3'],0.35359999999999997,0.35359999999999997,0.741364,1,0.5954305420842764,0.7107859868458898
13,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,3.1268800000000003,0.622302,1.2279039999999999,13,['11'],0.35353599999999996,0.35353599999999996,1.090404,1,0.28791827374126966,0.3487194903546026
21,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,2.7598000000000003,0.623602,1.0065279999999999,21,['30'],0.073472,0.073472,0.39176,1,0.07299548547084632,0.14195231538517283
4,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.41263,0.7746280000000001,0.69824,4,['13'],0.144,0.144,0.8122659999999999,1,0.2062328139321723,0.5750026546229373
5,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.827344,0.803648,1.131776,5,['10'],0.69984,0.69984,1.4907460000000001,1,0.6183555756616151,0.8157993240462661
8,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.5507940000000002,0.662946,0.7856,8,['7'],0.093952,0.093952,0.558702,1,0.11959266802443992,0.36026835285666564
15,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,3.2376080000000003,1.573744,2.61312,15,"['2', '19']",0.26527999999999996,0.5305599999999999,1.4695259999999999,2,0.20303698261082534,0.4538925033543282
18,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,4.989260000000001,1.409942,4.375488,18,['17'],0.14374399999999998,0.14374399999999998,0.586788,1,0.03285210701069229,0.1176102267670957
20,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,2.109878,1.0884939999999999,1.45504,20,['1'],0.52032,0.52032,1.2704300000000002,1,0.357598416538377,0.6021343414168971
24,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.41032,0.82456,0.81024,24,['29'],0.07647999999999999,0.07647999999999999,0.341976,1,0.09439178515007898,0.24248113903227636
30,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.262272,0.906138,0.61952,30,['28'],0.194624,0.194624,0.61791,1,0.3141528925619835,0.48952206814379146
35,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.788944,0.8557319999999999,0.886528,35,['22'],0.166016,0.166016,0.5763780000000001,1,0.1872653768408894,0.3221889561663194
36,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.3167680000000002,0.6651900000000001,0.612416,36,['32'],0.22304,0.22304,0.9528,1,0.3641968857769882,0.7235898806775376
38,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,1.95082,0.88913,0.775168,38,['25'],0.16569599999999998,0.16569599999999998,0.89718,1,0.21375495376486128,0.45989891430270347
8,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,1.027604,0.633358,0.46399999999999997,8,['9'],0.215552,0.215552,0.632608,1,0.46455172413793105,0.6156145752644014
18,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,2.189514,1.127566,1.708032,18,['7'],0.250624,0.250624,0.851476,1,0.1467326139088729,0.38888812768495656
19,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,4.50975,0.878622,2.599296,19,['5'],0.218048,0.218048,0.6085320000000001,1,0.0838873294922933,0.13493696989855314
23,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,1.021852,0.640582,0.499264,23,['21'],0.152064,0.152064,0.696842,1,0.30457633636713244,0.6819402418354126
11,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,3.5296480000000003,0.953102,2.193664,11,"['2', '5', '14']",0.089088,0.267264,1.263284,3,0.1218345197806045,0.3579065107908777
19,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,1.6400000000000001,0.981954,1.2096639999999999,19,"['17', '20']",0.25574399999999997,0.5114879999999999,1.1831180000000001,2,0.4228347706470557,0.7214134146341463
