Subregion,Animal,Basal,Proximal,Distal
CA1,MCC270,0.6287,0.619936,0.620931
CA1,MCC273,0.5718570000000001,0.579092,0.65223
CA1,MCC276,0.575212,0.520634,0.6631330000000001
CA2,MCC270,0.7184020000000001,0.7480979999999999,0.7692620000000001
CA2,MCC273,0.646771,0.627838,0.696944
CA2,MCC276,0.704298,0.6586559999999999,0.715766
