CA2,CA2,CA2,CA1,CA1,CA1
Basal,Proximal,Distal,Basal,Proximal,Distal
0.05472,0.159872,0.43596799999999997,0.298112,0.292608,0.077376
0.246144,0.104256,0.632768,0.115328,0.049664,0.44544
0.031104,0.21523199999999998,0.09183999999999999,0.347456,0.11430399999999999,0.19244799999999998
0.091136,0.126336,0.271808,0.27488,0.16467199999999999,0.21670399999999998
0.821888,0.303936,0.097152,0.043136,0.379584,0.059135999999999994
0.272384,1.3024,0.13792,0.155328,0.218752,0.38745599999999997
0.127168,0.170752,0.36774399999999996,0.108096,0.15692799999999998,0.200064
0.409792,0.049727999999999994,0.32576,0.12070399999999999,0.286016,0.31884799999999996
0.073984,0.22111999999999998,0.107904,0.07782399999999999,0.16070399999999999,0.161984
0.174208,0.427648,0.165568,0.126912,0.10668799999999999,0.254528
0.14368,0.059711999999999994,0.100352,0.103104,0.19807999999999998,0.179968
0.21337599999999998,0.351808,0.503168,0.20921599999999999,0.14751999999999998,0.058112
0.0992,0.070592,0.251776,0.284224,0.092608,0.32262399999999997
0.11295999999999999,0.22195199999999998,0.09088,0.282304,0.15526399999999999,0.173184
0.242176,0.5704319999999999,0.195968,0.25344,0.11743999999999999,0.326016
0.177344,0.065664,0.7320319999999999,0.042047999999999995,0.10867199999999999,0.727808
0.138176,0.849984,0.255232,0.289216,0.393408,0.141568
0.065216,0.12787199999999999,0.270016,0.04256,0.068672,0.20838399999999999
0.129472,0.124736,0.033535999999999996,0.19180799999999998,0.107968,0.31776
0.180992,0.7343999999999999,0.546432,0.22092799999999999,0.07168,0.3392
0.34175999999999995,0.8630399999999999,0.28032,0.652224,0.15295999999999998,0.25894399999999995
0.155584,0.13369599999999998,0.11692799999999999,0.11424,0.322752,0.281088
0.148864,0.10355199999999999,1.9175679999999997,0.076928,0.15756799999999999,0.06905599999999999
0.20895999999999998,0.075264,0.328192,0.25023999999999996,0.174528,0.215808
0.041664,0.10528,0.39904,0.12140799999999999,0.30879999999999996,0.117632
0.177792,0.039168,0.263296,0.425216,0.090432,0.2032
0.073472,0.293056,0.25446399999999997,0.117376,0.084608,0.10931199999999999
0.1376,0.07583999999999999,0.500288,0.069824,0.112576,0.337024
0.10700799999999999,0.06816,0.068608,0.068352,0.171648,0.164096
0.17312,0.9081599999999999,0.123584,0.08032,0.089088,0.13824
0.351744,0.126464,0.36447999999999997,0.219136,0.13951999999999998,0.278656
0.116672,0.068288,0.209344,0.08159999999999999,0.34937599999999996,0.101952
0.406976,0.10553599999999999,0.353792,0.12128,0.07731199999999999,0.127744
0.177856,0.027776,0.34304,0.049791999999999996,0.140672,0.12953599999999998
0.041152,0.06905599999999999,0.216448,0.18515199999999998,0.137152,0.3216
0.22764800000000002,0.22483199999999998,1.7156479999999998,0.085376,0.35475199999999996,0.15872
0.055872,0.183936,0.063488,0.107776,0.093888,0.244992
0.580032,0.107136,0.950272,0.291904,0.10156799999999999,0.255424
0.050432,0.355776,0.085376,0.129344,0.171456,0.167936
0.101376,0.15814399999999998,0.0608,0.179584,0.137024,0.163072
0.47321599999999997,0.059135999999999994,0.310976,0.32844799999999996,0.105472,0.148096
0.15488,0.07750399999999999,0.049152,0.220608,0.10188799999999999,0.057984
0.045183999999999995,0.239616,0.35903999999999997,0.15878399999999998,0.076416,0.160512
0.404736,0.283904,0.588544,0.335296,0.275904,0.7037439999999999
0.37983999999999996,0.07155199999999999,0.294528,0.160768,0.049856,0.133376
0.46399999999999997,0.122304,0.041088,0.293632,0.296832,0.31456
0.558592,0.241024,0.546432,0.076608,0.06643199999999999,0.196096
0.38195199999999996,0.40588799999999997,0.042623999999999995,0.153088,0.243328,0.06272
0.297728,0.103424,0.04448,0.16486399999999998,0.056192,0.083712
0.1888,0.23155199999999998,0.09497599999999999,0.169152,0.081344,0.095936
0.24204799999999999,0.248,0.07187199999999999,0.300544,0.08934399999999999,0.170816
0.15711999999999998,0.241536,0.10092799999999999,0.11046399999999999,0.08191999999999999,0.501056
0.10931199999999999,0.073664,0.078912,0.130688,1.45184,0.13747199999999998
0.11392,0.11891199999999999,0.6624,0.34719999999999995,0.14048,0.10336
0.159104,0.300544,0.18783999999999998,0.176448,0.105792,0.286592
0.10048,0.20268799999999998,0.7418239999999999,0.126272,0.144192,0.35065599999999997
0.142272,0.932736,0.330368,0.14464,0.173696,0.346944
0.258496,0.10016,0.177856,0.192192,0.21696,0.146496
0.065536,0.284736,0.021632,0.175872,0.10803199999999999,0.11244799999999999
0.053183999999999995,0.279808,0.025727999999999997,0.059519999999999997,0.181632,0.160512
0.088896,0.12172799999999999,0.29452799999999996,0.24896,0.196352,0.067008
0.58528,0.138176,0.283456,0.17664,0.160576,0.225024
0.224704,0.266816,0.6691199999999999,0.305664,0.116672,0.5139199999999999
0.076928,0.19724799999999998,0.11033599999999999,0.267328,0.16319999999999998,0.335616
0.044927999999999996,0.04704,0.342336,0.107904,0.17087999999999998,0.06912
0.43923199999999996,0.26988799999999996,0.178752,0.29958399999999996,0.34137599999999996,0.121088
0.130496,0.26527999999999996,0.38272,0.23763199999999998,0.169984,0.111936
0.25772799999999996,0.061439999999999995,0.252416,0.12415999999999999,0.184128,0.104256
0.836672,0.08256,0.272256,0.33471999999999996,0.18035199999999998,0.60448
0.17094399999999998,1.14464,0.36236799999999997,0.215104,0.12928,0.84544
0.203584,0.26694399999999996,0.129472,0.074048,0.134592,0.4208
0.057471999999999995,0.13055999999999998,0.045759999999999995,0.066304,1.515072,0.16108799999999998
1.025728,0.50784,0.109888,0.081984,0.44678399999999996,0.16896
0.11711999999999999,0.12102399999999999,0.162496,0.524224,0.13663999999999998,0.27296
0.270656,0.074752,0.07039999999999999,0.17382399999999998,0.12448,0.106432
0.081664,1.029376,0.43001599999999995,0.459072,0.25817599999999996,0.030528
0.400256,0.191488,0.16550399999999998,0.40499199999999996,0.15008,0.182336
0.065792,0.07302399999999999,0.41497599999999996,0.29375999999999997,0.12736,0.11424
0.417728,0.164992,0.150912,0.192704,0.146496,0.25023999999999996
0.086144,0.33753599999999995,0.173376,0.35276799999999997,0.09824,0.46771199999999996
0.133632,0.12544,0.09056,0.533184,0.63264,0.127552
0.364224,1.017088,0.191552,0.12467199999999999,0.07168,0.23071999999999998
0.16339199999999998,0.29414399999999996,0.17376,0.11827199999999999,0.079744,0.235072
0.124928,0.290752,0.7028479999999999,0.22272,0.17868799999999999,0.19648
0.09100799999999999,0.07155199999999999,0.10931199999999999,0.497088,0.19455999999999998,0.071424
0.066304,0.11231999999999999,0.213888,0.16,0.259136,0.221248
0.18048,0.129152,0.37740799999999997,0.20921599999999999,0.113344,0.32179199999999997
0.21651199999999998,0.271488,0.40755199999999997,0.15334399999999998,0.310144,0.20556799999999997
0.363904,0.466752,0.19308799999999998,0.078272,0.090944,0.286848
0.905664,0.08473599999999999,0.32448,0.493952,0.05024,0.131904
0.02848,0.6531199999999999,0.140672,0.53504,0.12339199999999999,0.12268799999999999
0.18054399999999998,0.127616,0.05728,0.04896,0.07334399999999999,0.262528
0.24134399999999998,0.050367999999999996,0.16236799999999998,0.34892799999999996,0.08992,0.609216
0.384704,0.278592,0.08256,0.064512,0.187328,0.32844799999999996
0.087488,0.287552,0.09888,0.222464,0.21254399999999998,0.19039999999999999
0.027968,0.11148799999999999,0.11065599999999999,0.345792,0.227008,0.399232
0.256256,0.33395199999999997,0.160512,0.339648,0.339136,0.060351999999999996
0.20524799999999999,0.098688,0.09529599999999999,0.099712,0.292416,0.125824
0.100352,0.37152,0.120192,0.218304,0.148608,0.127104
0.380224,0.223744,0.389824,0.19584,0.62496,0.210816
0.194816,0.102976,0.672128,0.09529599999999999,0.145792,0.09068799999999999
0.19475199999999998,0.07615999999999999,0.499264,0.104768,0.32192,0.09536
0.032576,0.30879999999999996,0.271232,0.043136,0.16,0.5474559999999999
0.20646399999999998,0.150528,0.112896,0.290624,0.33152,0.162304
0.453248,0.08691199999999999,0.15744,0.22777599999999998,0.186048,0.054528
0.383552,0.176192,0.24409599999999998,1.3155199999999998,0.123328,0.13683199999999998
0.195264,0.199104,0.149568,0.171648,0.21964799999999998,0.04928
0.43219199999999997,0.28032,0.11526399999999999,0.281408,0.14585599999999999,0.09759999999999999
0.32255999999999996,0.07731199999999999,0.159872,0.03392,0.547968,0.155136
0.35359999999999997,0.401984,0.44288,0.167232,0.22822399999999998,0.081024
0.35353599999999996,0.07417599999999999,0.170816,0.034367999999999996,0.111104,0.083072
0.073472,0.081344,0.21318399999999998,0.132544,0.342336,0.10188799999999999
0.144,0.712256,0.5305599999999999,0.08864,0.127104,0.127488
0.69984,0.16512,0.275584,0.301888,0.23366399999999998,0.349504
0.093952,0.046976,0.229568,0.15500799999999998,0.14368,0.23430399999999998
0.5305599999999999,0.239808,0.360064,0.266688,0.11609599999999999,0.22848
0.14374399999999998,0.15328,0.5536639999999999,0.07865599999999999,0.11263999999999999,0.092096
0.52032,0.18035199999999998,0.197376,0.14143999999999998,0.21056,0.257664
0.07647999999999999,0.169984,1.72384,0.122752,0.378752,0.246912
0.194624,0.5232,0.232448,0.08076799999999999,0.195904,0.107136
0.166016,0.26592,0.12832,0.06611199999999999,0.19744,0.112512
0.22304,0.075968,0.10751999999999999,0.06905599999999999,0.11903999999999999,0.08902399999999999
0.16569599999999998,0.36780799999999997,0.072768,0.078208,0.24128,0.182336
0.215552,0.288896,0.39622399999999997,0.07551999999999999,0.34809599999999996,0.21721599999999996
0.250624,0.149504,0.248576,0.15001599999999998,0.150336,0.07808
0.218048,0.865536,0.11359999999999999,0.11936,0.30169599999999996,0.178496
0.152064,0.26015999999999995,0.417216,0.15526399999999999,0.609216,0.070912
0.267264,0.07468799999999999,0.264192,0.16966399999999998,0.19807999999999998,0.081344
0.5114879999999999,0.10783999999999999,0.438272,0.16025599999999998,0.078208,0.07008
0.337024,0.21836799999999998,0.29856,0.07897599999999999,0.072128,0.091712
0.342336,0.377664,0.264,0.042367999999999996,0.57248,0.259136
