CA2,CA2,CA2,CA1,CA1,CA1
Basal,Proximal,Distal,Basal,Proximal,Distal
0.379816,0.696736,1.017794,0.942416,0.663702,0.346208
0.908802,0.631382,1.35413,0.620454,0.624362,1.0728499999999999
0.23914,0.691158,0.709662,0.9182960000000001,0.2934,0.713272
0.367614,0.35208999999999996,0.439058,0.980908,0.440654,0.749798
2.7164720000000004,0.328444,0.752382,0.450564,0.587006,0.358022
1.013164,0.792316,0.59427,0.684002,0.675234,0.633672
0.33624400000000004,0.6319819999999999,1.401372,0.485572,1.326,0.490244
0.332296,0.9810220000000001,0.968836,0.49594,1.088016,0.45681
0.944848,0.9247820000000001,0.9624900000000001,0.5381440000000001,0.5423239999999999,0.563848
0.5490539999999999,0.547156,0.503492,0.51255,0.73129,0.7448600000000001
0.5748920000000001,1.416906,0.543784,0.5313,0.865842,0.39661
0.5606319999999999,0.551072,0.673076,0.935694,0.4328,0.5374800000000001
0.728,0.6321939999999999,1.311576,0.801172,0.412626,0.464414
0.47833800000000004,0.527394,0.694058,0.633066,0.496858,0.5897279999999999
0.514308,0.76285,0.567566,0.882344,0.74846,0.430758
0.38625400000000004,1.2131800000000001,0.787828,0.29415600000000003,0.483176,0.480804
0.66818,0.384832,1.988254,0.878728,0.411252,0.39468400000000003
0.729704,0.785644,0.934264,0.318496,0.428802,1.071412
0.45113600000000004,0.398156,0.764158,0.790342,0.412646,0.626804
0.31802600000000003,0.822172,0.629212,0.83605,0.521294,0.514948
0.660876,1.1088019999999998,0.5368379999999999,1.8819780000000002,0.9868020000000001,0.778164
0.605194,0.448896,1.229174,0.52093,0.369388,0.776064
0.712408,3.561518,0.697882,0.351392,0.357328,1.79707
0.990694,0.6922,0.526908,0.700472,0.367614,0.621742
0.5165299999999999,0.514996,1.204924,0.423368,0.363236,0.811424
0.54847,2.8734800000000003,1.828346,1.25437,0.6311420000000001,0.81851
0.867052,2.067934,2.1162460000000003,0.569678,0.404638,0.574168
0.322894,1.368692,0.869908,0.39727,0.8254,1.020832
0.595022,0.780802,0.839354,0.441438,0.557078,0.409414
0.39517,0.42643200000000003,1.0023980000000001,0.485242,0.777506,0.487016
0.6276079999999999,0.452548,1.080084,0.590596,0.6687580000000001,0.970674
0.61072,0.42415600000000003,1.108166,0.37608600000000003,0.39719,0.3644
0.7874140000000001,0.261602,0.355848,0.446268,0.515958,0.47816800000000004
