Subregion,Basal,Basal,Basal,Proximal,Proximal,Proximal,Distal,Distal,Distal
,MCC270,MCC273,MCC276,MCC270,MCC273,MCC276,MCC270,MCC273,MCC276
CA1,0.175872,0.12896,0.139488,0.136832,0.121088,0.11475199999999999,0.127488,0.123776,0.118208
CA2,0.16441599999999998,0.150144,0.18662399999999998,0.1528,0.122624,0.14176,0.18652799999999997,0.140096,0.164352
