CA2,CA2,CA2,CA1,CA1,CA1
Basal,Proximal,Distal,Basal,Proximal,Distal
0.05472,0.159872,0.43596799999999997,0.298112,0.186944,0.077376
0.246144,0.104256,0.632768,0.115328,0.105664,0.44544
0.031104,0.21523199999999998,0.09183999999999999,0.347456,0.049664,0.19244799999999998
0.091136,0.06444799999999999,0.106496,0.27488,0.11430399999999999,0.21670399999999998
0.821888,0.061888,0.165312,0.043136,0.16467199999999999,0.059135999999999994
0.272384,0.103168,0.097152,0.155328,0.116352,0.155328
0.064192,0.200768,0.13792,0.108096,0.26323199999999997,0.10009599999999999
0.06297599999999999,0.298112,0.36774399999999996,0.12070399999999999,0.218752,0.13203199999999998
0.409792,0.349568,0.32576,0.07782399999999999,0.15692799999999998,0.200064
0.073984,0.142016,0.107904,0.126912,0.286016,0.23596799999999998
0.174208,0.437056,0.165568,0.103104,0.16070399999999999,0.08288
0.14368,0.07564799999999999,0.100352,0.20921599999999999,0.10668799999999999,0.161984
0.21337599999999998,0.170752,0.503168,0.284224,0.071424,0.07187199999999999
0.0992,0.049727999999999994,0.251776,0.282304,0.126656,0.18265599999999999
0.11295999999999999,0.22111999999999998,0.09088,0.25344,0.14751999999999998,0.085376
0.093568,0.427648,0.195968,0.042047999999999995,0.092608,0.094592
0.148608,0.059711999999999994,0.6121599999999999,0.289216,0.07219199999999999,0.058112
0.177344,0.351808,0.11987199999999999,0.04256,0.083072,0.32262399999999997
0.138176,0.070592,0.255232,0.19180799999999998,0.11743999999999999,0.173184
0.065216,0.22195199999999998,0.270016,0.22092799999999999,0.10867199999999999,0.126464
0.129472,0.5704319999999999,0.033535999999999996,0.652224,0.393408,0.19955199999999998
0.180992,0.065664,0.546432,0.11424,0.068672,0.157632
0.12121599999999999,0.849984,0.28032,0.076928,0.056639999999999996,0.570176
0.220544,0.12787199999999999,0.11692799999999999,0.25023999999999996,0.051328,0.141568
0.155584,0.124736,0.5349119999999999,0.12140799999999999,0.07168,0.20838399999999999
0.148864,0.7343999999999999,0.923584,0.425216,0.15295999999999998,0.19552
0.20895999999999998,0.575104,0.459072,0.117376,0.08864,0.12223999999999999
0.041664,0.28793599999999997,0.328192,0.069824,0.234112,0.3392
0.177792,0.13369599999999998,0.39904,0.068352,0.15756799999999999,0.112896
0.073472,0.10355199999999999,0.263296,0.08032,0.174528,0.14604799999999998
0.1376,0.075264,0.25446399999999997,0.219136,0.232448,0.281088
0.10700799999999999,0.10528,0.500288,0.08159999999999999,0.076352,0.06905599999999999
0.17312,0.039168,0.068608,0.12128,0.090432,0.10751999999999999
0.24518399999999999,0.293056,0.123584,0.049791999999999996,0.084608,0.108288
0.10656,0.07583999999999999,0.26278399999999996,0.18515199999999998,0.112576,0.117632
0.116672,0.06816,0.101696,0.085376,0.171648,0.2032
0.406976,0.28512,0.209344,0.107776,0.089088,0.10931199999999999
0.177856,0.6230399999999999,0.353792,0.291904,0.080064,0.337024
0.041152,0.126464,0.34304,0.129344,0.059455999999999995,0.164096
0.128832,0.068288,0.216448,0.179584,0.34937599999999996,0.13824
0.098816,0.10553599999999999,0.49190399999999995,0.32844799999999996,0.07731199999999999,0.278656
0.055872,0.027776,1.223744,0.220608,0.140672,0.101952
0.329024,0.06905599999999999,0.063488,0.15878399999999998,0.137152,0.055423999999999994
