Layer,Area_um_sq,Group,Metric
Basal,0.163776,MCC Cre +,Area_um_sq
Basal,0.15267199999999995,MCC Cre +,Area_um_sq
Basal,0.14048,MCC Cre +,Area_um_sq
Basal,0.129856,MCC Cre +,Area_um_sq
Basal,0.1144319999999999,MCC Cre +,Area_um_sq
Basal,0.0999039999999999,MCC Cre +,Area_um_sq
Basal,0.1978879999999999,MCC Cre +,Area_um_sq
Basal,0.145152,MCC Cre +,Area_um_sq
Basal,0.146496,MCC Cre +,Area_um_sq
Basal,0.167424,MCC Cre +,Area_um_sq
Basal,0.2292479999999999,MCC Cre +,Area_um_sq
Basal,0.09856,MCC Cre +,Area_um_sq
Basal,0.179456,MCC Cre +,Area_um_sq
Basal,0.1828479999999999,MCC Cre +,Area_um_sq
Basal,0.186048,MCC Cre +,Area_um_sq
Basal,0.173184,MCC Cre +,Area_um_sq
Basal,0.109568,MCC Cre +,Area_um_sq
Basal,0.157056,MCC Cre +,Area_um_sq
Basal,0.125184,MCC Cre +,Area_um_sq
Basal,0.137536,MCC Cre +,Area_um_sq
Basal,0.163776,MCC Cre +,Area_um_sq
Basal,0.121664,MCC Cre +,Area_um_sq
Basal,0.137088,MCC Cre +,Area_um_sq
Basal,0.109632,MCC Cre +,Area_um_sq
Basal,0.170816,MCC Cre +,Area_um_sq
Basal,0.146368,MCC Cre +,Area_um_sq
Basal,0.0989439999999999,MCC Cre +,Area_um_sq
Basal,0.13481599999999994,MCC Cre +,Area_um_sq
Basal,0.14473599999999998,MCC Cre +,Area_um_sq
Basal,0.129856,MCC Cre +,Area_um_sq
Basal,0.122752,MCC Cre +,Area_um_sq
Basal,0.1114879999999999,MCC Cre +,Area_um_sq
Basal,0.209248,MCC Cre +,Area_um_sq
Basal,0.256384,MCC Cre +,Area_um_sq
Basal,0.1162879999999999,MCC Cre +,Area_um_sq
Basal,0.2119039999999999,MCC Cre +,Area_um_sq
Basal,0.1594239999999999,MCC Cre +,Area_um_sq
Basal,0.146944,MCC Cre +,Area_um_sq
Basal,0.132608,MCC Cre +,Area_um_sq
Basal,0.16780799999999996,MCC Cre +,Area_um_sq
Basal,0.13568,MCC Cre +,Area_um_sq
Basal,0.112928,MCC Cre +,Area_um_sq
Basal,0.127488,MCC Cre +,Area_um_sq
Basal,0.1192319999999999,MCC Cre +,Area_um_sq
Basal,0.110528,MCC Cre +,Area_um_sq
Basal,0.153728,MCC Cre +,Area_um_sq
Basal,0.109056,MCC Cre +,Area_um_sq
Basal,0.1095039999999999,MCC Cre +,Area_um_sq
Basal,0.146944,MCC Cre +,Area_um_sq
Basal,0.143872,MCC Cre +,Area_um_sq
Basal,0.141696,MCC Cre +,Area_um_sq
Basal,0.1121279999999999,MCC Cre +,Area_um_sq
Basal,0.179648,MCC Cre +,Area_um_sq
Basal,0.116544,MCC Cre +,Area_um_sq
Basal,0.1241599999999999,MCC Cre +,Area_um_sq
Basal,0.166848,MCC Cre +,Area_um_sq
Basal,0.133888,MCC Cre +,Area_um_sq
Basal,0.12035199999999996,MCC Cre +,Area_um_sq
