Layer,Area_um_sq,Group,Metric
Basal,0.155136,MCC Cre -,Area_um_sq
Basal,0.17472,MCC Cre -,Area_um_sq
Basal,0.140992,MCC Cre -,Area_um_sq
Basal,0.16336,MCC Cre -,Area_um_sq
Basal,0.210752,MCC Cre -,Area_um_sq
Basal,0.178816,MCC Cre -,Area_um_sq
Basal,0.1126399999999999,MCC Cre -,Area_um_sq
Basal,0.1500159999999999,MCC Cre -,Area_um_sq
Basal,0.2104319999999999,MCC Cre -,Area_um_sq
Basal,0.169216,MCC Cre -,Area_um_sq
Basal,0.167104,MCC Cre -,Area_um_sq
Basal,0.167424,MCC Cre -,Area_um_sq
Basal,0.1429119999999999,MCC Cre -,Area_um_sq
Basal,0.1962239999999999,MCC Cre -,Area_um_sq
Basal,0.168896,MCC Cre -,Area_um_sq
Basal,0.159872,MCC Cre -,Area_um_sq
Basal,0.118464,MCC Cre -,Area_um_sq
Basal,0.15072,MCC Cre -,Area_um_sq
Basal,0.221568,MCC Cre -,Area_um_sq
Basal,0.2028799999999999,MCC Cre -,Area_um_sq
Basal,0.2257279999999999,MCC Cre -,Area_um_sq
Basal,0.192576,MCC Cre -,Area_um_sq
Basal,0.2177919999999999,MCC Cre -,Area_um_sq
Basal,0.183616,MCC Cre -,Area_um_sq
Basal,0.178304,MCC Cre -,Area_um_sq
Basal,0.161472,MCC Cre -,Area_um_sq
Basal,0.176896,MCC Cre -,Area_um_sq
Basal,0.155584,MCC Cre -,Area_um_sq
Basal,0.137792,MCC Cre -,Area_um_sq
Basal,0.144256,MCC Cre -,Area_um_sq
Basal,0.1604479999999999,MCC Cre -,Area_um_sq
Basal,0.15008,MCC Cre -,Area_um_sq
Basal,0.14912,MCC Cre -,Area_um_sq
Basal,0.124288,MCC Cre -,Area_um_sq
Basal,0.178176,MCC Cre -,Area_um_sq
Basal,0.13408,MCC Cre -,Area_um_sq
Basal,0.221568,MCC Cre -,Area_um_sq
Basal,0.15488,MCC Cre -,Area_um_sq
Basal,0.168896,MCC Cre -,Area_um_sq
Basal,0.1287039999999999,MCC Cre -,Area_um_sq
Basal,0.1529599999999999,MCC Cre -,Area_um_sq
Basal,0.14912,MCC Cre -,Area_um_sq
Basal,0.161152,MCC Cre -,Area_um_sq
Basal,0.125056,MCC Cre -,Area_um_sq
Basal,0.17158400000000001,MCC Cre -,Area_um_sq
Basal,0.16416,MCC Cre -,Area_um_sq
Basal,0.1568,MCC Cre -,Area_um_sq
Basal,0.1616,MCC Cre -,Area_um_sq
Basal,0.160832,MCC Cre -,Area_um_sq
Basal,0.157184,MCC Cre -,Area_um_sq
Basal,0.153408,MCC Cre -,Area_um_sq
Basal,0.221568,MCC Cre -,Area_um_sq
Basal,0.169536,MCC Cre -,Area_um_sq
Basal,0.1882879999999999,MCC Cre -,Area_um_sq
Basal,0.2104319999999999,MCC Cre -,Area_um_sq
Basal,0.138368,MCC Cre -,Area_um_sq
Basal,0.1953919999999999,MCC Cre -,Area_um_sq
Basal,0.142848,MCC Cre -,Area_um_sq
Basal,0.1422719999999999,MCC Cre -,Area_um_sq
Basal,0.1665279999999999,MCC Cre -,Area_um_sq
Basal,0.146816,MCC Cre -,Area_um_sq
Basal,0.209088,MCC Cre -,Area_um_sq
Basal,0.155392,MCC Cre -,Area_um_sq
Basal,0.1167359999999999,MCC Cre -,Area_um_sq
Basal,0.150784,MCC Cre -,Area_um_sq
Basal,0.160832,MCC Cre -,Area_um_sq
Basal,0.151744,MCC Cre -,Area_um_sq
Basal,0.1223679999999999,MCC Cre -,Area_um_sq
Basal,0.1604479999999999,MCC Cre -,Area_um_sq
Basal,0.166208,MCC Cre -,Area_um_sq
Basal,0.165184,MCC Cre -,Area_um_sq
Basal,0.19904,MCC Cre -,Area_um_sq
Basal,0.1585919999999999,MCC Cre -,Area_um_sq
Basal,0.204736,MCC Cre -,Area_um_sq
Basal,0.1225599999999999,MCC Cre -,Area_um_sq
Basal,0.1884799999999999,MCC Cre -,Area_um_sq
Basal,0.1780479999999999,MCC Cre -,Area_um_sq
Basal,0.172928,MCC Cre -,Area_um_sq
Basal,0.1696,MCC Cre -,Area_um_sq
Basal,0.14496,MCC Cre -,Area_um_sq
Basal,0.167296,MCC Cre -,Area_um_sq
Basal,0.16352,MCC Cre -,Area_um_sq
