index,Basal,Proximal,Distal
count,1470.0,1951.0,3979.0
mean,0.165,0.147,0.156
std,0.114,0.11,0.13
min,0.011,0.017,0.012
25%,0.082,0.079,0.079
50%,0.13,0.115,0.116
75%,0.217,0.182,0.187
max,0.727,0.915,1.364
