index,Basal,Proximal,Distal
count,2353.0,2904.0,5236.0
mean,0.202,0.181,0.213
std,0.158,0.15,0.19
min,0.015,0.012,0.011
25%,0.092,0.086,0.093
50%,0.155,0.134,0.153
75%,0.259,0.225,0.263
max,1.93,1.347,2.057
