index,Basal,Proximal,Distal
count,2353.0,2904.0,5236.0
mean,0.675,0.721,0.797
std,0.364,0.479,0.562
min,0.173,0.198,0.19
25%,0.431,0.427,0.449
50%,0.588,0.584,0.623
75%,0.814,0.839,0.937
max,4.331,5.578,6.624
