index,Basal,Proximal,Distal
count,1144.0,1401.0,3017.0
mean,0.638,0.642,0.681
std,0.327,0.372,0.467
min,0.18,0.178,0.215
25%,0.411,0.424,0.4
50%,0.551,0.539,0.535
75%,0.765,0.738,0.774
max,2.735,4.034,4.212
