index,Basal,Proximal,Distal
count,1470.0,1951.0,3979.0
mean,0.63,0.631,0.656
std,0.331,0.377,0.444
min,0.18,0.178,0.175
25%,0.404,0.405,0.39
50%,0.539,0.516,0.512
75%,0.756,0.727,0.751
max,2.735,4.034,4.212
