index,Basal,Proximal,Distal
count,1144.0,1401.0,3017.0
mean,0.169,0.152,0.164
std,0.113,0.109,0.136
min,0.011,0.017,0.013
25%,0.085,0.083,0.083
50%,0.135,0.12,0.124
75%,0.219,0.188,0.198
max,0.727,0.915,1.364
