index,Basal,Proximal,Distal
count,1820.0,2068.0,4286.0
mean,0.67,0.705,0.8
std,0.348,0.453,0.54
min,0.173,0.198,0.19
25%,0.434,0.432,0.463
50%,0.594,0.585,0.638
75%,0.812,0.828,0.943
max,3.793,5.199,6.281
