Layer,MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
,MCC270,MCC273,MCC276,MCC274,MCC277,MCC282
Basal,10.0,12.0,8.0,9.0,13.0,16.0
Proximal,8.0,13.0,10.0,10.0,13.0,15.0
Distal,15.0,22.0,20.0,18.0,24.0,25.0
