MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
Basal,Proximal,Distal,Basal,Proximal,Distal
0.558592,0.158848,0.170816,0.32172799999999996,0.64544,0.302016
0.46399999999999997,0.185216,0.21792,0.547904,0.19308799999999998,0.12511999999999998
0.38195199999999996,0.281856,0.21318399999999998,0.234944,0.283648,0.392128
0.211392,0.174016,0.570048,0.12236799999999999,0.443776,0.495424
0.192704,0.298112,0.269696,0.595008,0.07929599999999999,0.09465599999999999
0.15711999999999998,0.159872,0.20096,0.213888,0.514112,0.084352
0.086336,0.21523199999999998,0.159872,0.331904,0.26489599999999996,0.22028799999999998
0.1888,0.349568,0.24192,0.191104,1.201728,0.389376
0.341184,0.103168,0.173376,0.07219199999999999,0.062015999999999995,0.093568
0.049344,0.06444799999999999,0.5305599999999999,0.180992,0.17030399999999998,0.08044799999999999
0.09363199999999999,0.104256,0.275584,0.13535999999999998,0.370944,1.1984
0.10931199999999999,0.142016,0.13696,0.072896,0.15711999999999998,0.034623999999999995
0.159104,0.061888,0.092608,0.093888,0.342912,0.156864
0.11392,0.200768,0.082048,0.31801599999999997,0.48486399999999996,0.13888
0.10048,0.437056,0.43596799999999997,0.261632,0.1664,0.34604799999999997
0.044288,0.07564799999999999,0.09183999999999999,0.217664,0.16319999999999998,0.21062399999999998
0.187904,0.170752,0.32576,0.26752,0.141696,0.12889599999999998
0.09344,0.22111999999999998,0.632768,0.14438399999999998,0.12639999999999998,0.351616
0.145152,0.055167999999999995,0.36774399999999996,0.09759999999999999,0.07532799999999999,0.157184
0.070592,0.049727999999999994,0.106496,0.171648,0.093056,0.12089599999999999
0.097984,0.634944,0.097152,0.081728,0.333376,0.18431999999999998
0.08012799999999999,0.43302399999999996,0.165312,0.1008,0.443776,0.091584
0.380224,0.23199999999999998,0.13792,0.099328,0.092096,0.101952
0.14368,0.149568,0.165568,0.20147199999999998,0.09382399999999999,0.309056
