Layer,MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
,MCC270,MCC273,MCC276,MCC274,MCC277,MCC282
Basal,1.498,1.355,1.667,1.718,1.347,1.181
Proximal,1.77,1.487,1.584,1.592,1.331,1.275
Distal,1.343,1.121,1.17,1.241,1.153,1.032
