MCC Cre -,MCC Cre -,MCC Cre -
Basal,Proximal,Distal
0.558592,0.158848,0.170816
0.46399999999999997,0.185216,0.21792
0.38195199999999996,0.281856,0.21318399999999998
0.211392,0.174016,0.570048
0.192704,0.298112,0.269696
0.15711999999999998,0.159872,0.20096
0.086336,0.21523199999999998,0.159872
0.1888,0.349568,0.24192
0.049344,0.103168,0.173376
0.09363199999999999,0.06444799999999999,0.5305599999999999
0.10931199999999999,0.104256,0.275584
0.159104,0.142016,0.13696
0.11392,0.061888,0.092608
0.10048,0.200768,0.082048
0.044288,0.437056,0.43596799999999997
0.187904,0.07564799999999999,0.09183999999999999
0.070592,0.170752,0.32576
0.097984,0.22111999999999998,0.632768
0.380224,0.055167999999999995,0.36774399999999996
0.100352,0.049727999999999994,0.106496
0.194816,0.634944,0.097152
0.19475199999999998,0.43302399999999996,0.165312
0.103104,0.23199999999999998,0.13792
0.453248,0.149568,0.165568
0.20646399999999998,0.13414399999999999,0.107904
0.383552,0.059135999999999994,0.100352
0.195264,0.283904,0.301632
0.032576,0.239616,0.126528
0.077888,0.07750399999999999,0.273344
0.43673599999999996,0.122304,0.086464
0.09504,0.07155199999999999,0.300096
0.55904,0.11231999999999999,0.266432
0.20479999999999998,0.07155199999999999,0.081728
0.06784,0.129152,0.370496
0.140736,0.351808,0.076096
0.058688,0.427648,0.7034239999999999
0.44057599999999997,0.059711999999999994,0.166272
0.317248,0.22195199999999998,0.207872
0.070912,0.070592,0.090944
0.342336,0.046528,0.07814399999999999
0.019776,0.5704319999999999,0.610112
0.24518399999999999,0.08819199999999999,0.268608
0.17312,0.138176,0.12896
0.10700799999999999,0.266816,0.199104
0.406976,0.12172799999999999,0.040192
0.177856,0.19724799999999998,0.456192
0.116672,0.13369599999999998,0.17260799999999998
0.10656,0.10355199999999999,0.056832
0.128832,0.10528,0.224576
0.329024,0.293056,0.285504
0.098816,0.039168,0.181888
0.055872,0.075264,0.15392
0.041152,0.032063999999999995,0.149248
0.251008,0.07583999999999999,0.08512
0.556672,0.06816,0.6121599999999999
0.26739199999999996,0.849984,0.503168
0.604416,0.065664,0.251776
0.09119999999999999,0.12787199999999999,0.11987199999999999
0.129344,0.575104,0.195968
0.44511999999999996,0.28793599999999997,0.09088
0.312896,0.7343999999999999,0.255232
0.39244799999999996,0.124736,0.1616
0.0272,0.17113599999999998,0.270016
0.43219199999999997,0.1664,0.033535999999999996
0.35359999999999997,0.12544,0.500288
0.32255999999999996,0.164992,0.263296
0.35353599999999996,0.657216,0.39904
0.073472,0.15264,0.209344
0.325376,0.368,0.068608
0.08723199999999999,0.21151999999999999,0.26278399999999996
0.471808,0.252928,0.066624
0.443264,0.24352,0.25446399999999997
0.20992,0.278592,0.123584
0.124416,0.278208,0.101696
0.293888,0.287552,0.353792
0.14496,0.09331199999999999,0.37740799999999997
0.09446399999999999,0.11148799999999999,0.24
0.063232,0.33395199999999997,0.140672
0.363328,0.098688,0.19308799999999998
0.125056,0.223744,0.16755199999999998
0.184448,0.102976,0.32448
0.30380799999999997,0.183936,0.136704
0.19424,0.107136,0.05728
0.253952,0.355776,0.08256
0.12659199999999998,0.15814399999999998,0.16236799999999998
0.101376,0.191488,0.116224
0.38873599999999997,0.07302399999999999,0.26688
0.400256,0.09247999999999999,0.23936
0.364224,0.12102399999999999,0.06905599999999999
0.086144,0.209664,0.096384
0.417728,0.13568,0.14976
0.16339199999999998,0.09497599999999999,0.081728
0.081664,0.06752,0.25529599999999997
0.133632,0.08691199999999999,0.025599999999999998
0.065792,0.074752,0.109888
0.413184,0.942464,0.26662399999999997
0.050432,0.08806399999999999,0.412416
0.15488,0.058816,0.049088
0.37983999999999996,0.11327999999999999,0.085952
0.404736,0.07468799999999999,0.18156799999999998
0.045183999999999995,0.10783999999999999,0.6238079999999999
0.101376,0.21836799999999998,0.027968
0.060031999999999995,0.377664,0.21318399999999998
