Layer,MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
,MCC270,MCC273,MCC276,MCC274,MCC277,MCC282
Basal,1.863,1.713,1.934,2.023,1.616,1.528
Proximal,1.892,1.657,1.697,1.848,1.562,1.408
Distal,2.049,1.746,1.839,2.011,1.806,1.65
