MCC Cre +,MCC Cre +,MCC Cre +
Basal,Proximal,Distal
0.32172799999999996,0.64544,0.302016
0.547904,0.19308799999999998,0.12511999999999998
0.234944,0.283648,0.392128
0.12236799999999999,0.443776,0.495424
0.595008,0.07929599999999999,0.09465599999999999
0.213888,0.514112,0.084352
0.331904,0.26489599999999996,0.22028799999999998
0.191104,1.201728,0.389376
0.07219199999999999,0.062015999999999995,0.093568
0.180992,0.17030399999999998,0.08044799999999999
0.13535999999999998,0.370944,1.1984
0.072896,0.342912,0.034623999999999995
0.093888,0.48486399999999996,0.34604799999999997
0.31801599999999997,0.1664,0.21062399999999998
0.261632,0.16319999999999998,0.12889599999999998
0.217664,0.141696,0.351616
0.26752,0.12639999999999998,0.157184
0.14438399999999998,0.07532799999999999,0.12089599999999999
0.09759999999999999,0.093056,0.18431999999999998
0.081728,0.333376,0.091584
0.1008,0.443776,0.101952
0.099328,0.092096,0.309056
0.20147199999999998,0.09382399999999999,0.29081599999999996
0.645312,0.207552,0.100992
0.355968,0.31936,0.12736
0.146496,0.336704,0.45388799999999996
0.246336,0.207616,0.142016
0.398912,0.14623999999999998,0.6741119999999999
0.256384,0.650944,0.051904
0.205056,0.142208,0.585792
0.10432,0.11807999999999999,0.255552
0.5899519999999999,0.183104,0.094528
0.462464,0.130432,0.12454399999999999
0.11084799999999999,0.118528,0.488
0.041344,0.04128,0.050303999999999995
0.071424,0.07008,0.21420799999999998
0.337472,0.191104,0.177152
0.178624,0.239168,0.10368
0.11212799999999999,0.24473599999999998,0.27296
0.099136,0.33939199999999997,0.220416
0.538496,0.068096,0.38201599999999997
0.46624,0.13267199999999998,0.276736
0.179968,0.25279999999999997,0.11475199999999999
0.094272,0.418624,0.07872
0.153728,0.10751999999999999,0.176064
0.050432,0.299904,0.39808
0.093376,0.087296,0.179776
0.275456,0.132288,0.307648
0.282368,0.08691199999999999,0.224576
0.392192,0.083136,0.231936
0.37619199999999997,0.190656,0.13958399999999999
0.16255999999999998,0.36908799999999997,0.338176
0.341632,0.127296,0.12096
0.053696,0.084288,0.12659199999999998
0.20128,0.144704,0.677632
0.594688,0.103168,0.208
