MCC Cre +,MCC Cre +,MCC Cre +
Basal,Proximal,Distal
0.29587199999999997,0.08588799999999999,0.109568
0.17676799999999998,0.099328,0.088512
0.270464,0.10604799999999999,0.061632
0.078208,0.141504,0.13958399999999999
0.211968,0.098304,0.07500799999999999
0.063232,0.066304,0.169216
0.03744,0.062464,0.06361599999999999
0.162944,0.290752,0.05984
0.491648,0.41344,0.11871999999999999
0.150592,0.11827199999999999,0.08243199999999999
0.09990399999999999,0.08671999999999999,0.136512
0.085504,0.13100799999999999,0.21184
0.8049919999999999,0.063872,0.066368
0.16697599999999999,0.06368,0.06675199999999999
0.028287999999999997,0.077952,0.22591999999999998
0.30335999999999996,0.109568,0.27782399999999996
0.10668799999999999,0.18975999999999998,0.395584
0.075968,0.08390399999999999,0.0464
0.094528,0.161216,0.355072
0.055487999999999996,0.23033599999999999,0.10048
0.052031999999999995,0.206208,0.254976
0.045888,0.067392,0.161152
0.081088,0.09376,0.17312
0.173888,0.12467199999999999,0.21043199999999998
0.065152,0.172928,0.09536
0.272064,0.08992,0.104768
0.44307199999999997,0.076416,0.08409599999999999
0.132096,0.25196799999999997,0.14771199999999998
0.08512,0.082688,0.10867199999999999
0.30668799999999996,0.09446399999999999,0.086976
0.109056,0.082048,0.23615999999999998
0.103488,0.145536,0.126912
0.28672,0.313344,0.081664
0.044351999999999996,0.023936,0.100288
0.072128,0.059072,0.081984
0.15859199999999998,0.392768,0.07008
0.094848,0.060416,0.07155199999999999
0.125504,0.103808,0.203008
0.061824,0.12006399999999999,0.091456
0.09894399999999999,0.109632,0.082368
0.464256,0.136768,0.174336
0.117184,0.17907199999999998,0.10092799999999999
0.13350399999999998,0.077376,0.117312
0.936448,0.170752,0.105792
0.080576,0.185472,0.106112
0.10438399999999999,0.240384,0.108544
0.048704,0.076736,0.060416
0.3872,0.054335999999999995,0.084288
0.068352,0.072256,0.022784
0.07302399999999999,0.076032,0.22323199999999999
0.147456,0.093888,0.079104
0.225152,0.269312,0.152064
0.08224,0.06464,0.082496
0.070016,0.064,0.32576
0.513984,0.037759999999999995,0.08294399999999999
0.066816,0.10815999999999999,0.16403199999999998
0.086784,0.052224,0.242368
0.192832,0.027583999999999997,0.196992
0.06912,0.139328,0.171008
0.16608,0.07776,0.058752
0.093376,0.09612799999999999,1.101632
0.502016,0.04384,0.102272
0.043264,0.048319999999999995,0.073792
0.11033599999999999,0.057664,0.296448
0.17856,0.10496,0.214912
0.061503999999999996,0.177152,0.28352
0.075968,0.088256,0.41753599999999996
0.233728,0.516224,0.56128
0.218752,0.09779199999999999,0.04928
0.159296,0.12064,0.03872
0.12832,0.025599999999999998,0.060031999999999995
0.047104,0.293184,0.089472
0.036416,0.14176,0.083648
0.089984,0.274432,0.087936
0.139328,0.66464,0.111936
0.059072,0.153024,0.154048
0.038848,0.128512,0.103424
0.01376,0.057856,0.067328
0.068928,0.086656,0.122432
0.067456,0.047487999999999995,0.13036799999999998
0.19014399999999998,0.102144,0.110592
0.1552,0.045183999999999995,0.329856
0.127936,0.0688,0.093376
0.058303999999999995,0.049408,0.068672
0.061695999999999994,0.14854399999999998,0.12
0.06496,0.119296,0.023167999999999998
0.175872,0.106944,0.100224
0.074048,0.060736,0.398464
0.12153599999999999,0.101632,0.250176
0.140352,0.08787199999999999,0.17574399999999998
0.380608,0.067392,0.17472
0.105984,0.063808,0.11609599999999999
0.096832,0.228288,0.696128
0.129856,0.061759999999999995,0.176
0.184832,0.017536,0.018368
0.039168,0.188992,0.051136
0.252672,0.08870399999999999,0.102016
0.13248,0.14623999999999998,0.31846399999999997
0.01792,0.077568,0.14079999999999998
0.096704,0.12825599999999998,0.231232
0.19424,0.093056,0.075584
1.219072,0.6766719999999999,0.086336
0.049664,0.030719999999999997,0.14899199999999999
0.13139199999999998,0.07865599999999999,0.34464
0.189056,0.082816,0.148928
0.39961599999999997,0.044095999999999996,0.342208
0.19142399999999998,0.027392,0.084992
0.115392,0.096512,0.154112
0.032128,0.080704,0.07219199999999999
0.044095999999999996,0.11295999999999999,0.111872
