Layer,MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
,MCC270,MCC273,MCC276,MCC274,MCC277,MCC282
Basal,0.156,0.145,0.173,0.191,0.125,0.113
Proximal,0.153,0.127,0.135,0.16,0.112,0.095
Distal,0.178,0.137,0.157,0.184,0.145,0.128
